Index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring
4296,Masked and Anonymous,7500000,555335,tt0319829,,546106,Drama,Jeff Rosen,Larry Charles,Bob Dylan
4301,The Hole,7500000,10834406,tt1085779,12000000,10500000,Thriller,Claudio Fäh,Michel Litvak,Vicki Sotheran
4306,The Bye Bye Man,7400000,31187727,tt4030600,7400000,26667197,Horror,Simon Horsman,Trevor Macy,Jeffrey Soros
4309,Persepolis,7300000,25397187,tt0808417,7300000,22800000,Animation,Xavier Rigault,Marc-Antoine Robert,Kathleen Kennedy
4314,The Omega Code,7200000,12678312,tt0203408,7200000,2400000,Horror,Matthew Crouch,Lawrence Mortorff,Rob Marcarelli
4316,Juno,7000000,231450102,tt0467406,7500000,231411584,Comedy,Lianne Halfon,John Malkovich,Mason Novick
4318,Magic Mike,7000000,170549753,tt1915581,7000000,167221571,Drama,Nick Wechsler,Gregory Jacobs,Channing Tatum
4325,The Piano,7000000,40207064,tt0107822,7000000,116700000,Drama,Jan Chapman,Jane Campion,Holly Hunter
4326,Jumping the Broom,7000000,38158601,tt1640484,6600000,37710610,Comedy,Tracey E. Edmonds,Elizabeth Hunter,T.D. Jakes
4328,My Dog Skip,7000000,35795319,tt0156812,7000000,35547761,Comedy,Mark Johnson,Andrew Kosove,Broderick Johnson
4329,Darkness Falls,7000000,47289758,tt0282209,11000000,47500000,Thriller,John Fasano,John Hegeman,William Sherak
4330,"Definitely, Maybe",7000000,55617866,tt0832266,7000000,55447968,Comedy,Tim Bevan,Eric Fellner,Adam Brooks
4332,Capote,7000000,49924079,tt0379725,7000000,49084830,Crime,Caroline Baron,William Vince,Michael Ohoven
4336,Desperado,7000000,25532388,tt0112851,7000000,25405445,Thriller,Robert Rodriguez,Bill Borden,Robert Rodriguez
4338,Gifted,7000000,36964656,tt4481414,7000000,37461045,Drama,Karen Lunder,Andy Cohen,Marc Webb
4339,Fargo,7000000,51203925,tt0116282,7000000,60611975,Crime,Ethan Coen,Joel Coen,Frances McDormand
4345,Dope,7000000,18190831,tt3850214,700000,17986781,Crime,Forest Whitaker,Nina Yang Bongiovi,Rick Famuyiwa
4348,Devils Due,7000000,36146087,tt2752758,7000000,36433975,Horror,John Davis,Matt Bettinelli-Olpin,Tyler Gillett
4349,Flirting with Disaster,7000000,16149180,tt0116324,7000000,14702438,Comedy,Dean Silvers,David O. Russell,Ben Stiller
4350,Beyond the Lights,7000000,14618727,tt3125324,7000000,14618727,Romance,Stephanie Allain,Reggie Rock Bythewood,Ryan Kavanaugh
4351,Buffy the Vampire Slayer,7000000,14231669,tt0103893,7000000,16624456,Action,Howard Rosenman,Kaz Kuzui,Fran Rubel Kuzui
4352,In Too Deep,7000000,15471229,tt0160401,7000000,14011454,Drama,Paul Aaron,Michael Henry Brown,Michael Rymer
4355,House of the Dead,7000000,13860078,tt0317676,7000000,13818181,Horror,Uwe Boll,Wolfgang Herold,Shawn Williamson
4356,A Serious Man,7000000,30360570,tt1019452,7000000,31430334,Comedy,Joel Coen,Ethan Coen,Joel Coen
4357,Get Low,7000000,10828305,tt1194263,7500000,9700000,Comedy,Dean Zanuck,David Gundlach,Aaron Schneider
4358,A Single Man,7000000,28142379,tt1315981,7000000,25000000,Drama,Tom Ford,Andrew Miano,Robert Salerno
4361,Cyrus,7000000,10062896,tt1336617,7000000,10062896,Comedy,Michael Costigan,Jay Duplass,Mark Duplass
4365,Whos Your Caddy?,7000000,5694308,tt0785077,7000000,5700000,Comedy,Christopher Eberts,Tracey Edmonds,Kia Jam
4370,Dark Angel,7000000,4372561,tt0099817,7000000,9229401,Action,Jeff Young,Jon Turtle,Rafael Eisenman
4373,Redbelt,7000000,2667084,tt1012804,7000000,2700000,Drama,Chrisann Verges,David Mamet,Chiwetel Ejiofor
4375,Auto Focus,7000000,2703821,tt0298744,7000000,2062066,Drama,Scott Alexander,Larry Karasewski,Alicia Allain
4378,Somewhere,7000000,17023121,tt1421051,8000000,13900000,Comedy,G. Mac Brown,Roman Coppola,Sofia Coppola
4380,Factory Girl,7000000,1661464,tt0432402,7000000,3600000,Drama,Aaron Richard Golub,Holly Wiersma,George Hickenlooper
4383,I Hope They Serve Beer in Hell,7000000,1429453,tt1220628,7000000,1429299,Comedy,Tucker Max,Richard Kelly,Nils Parker
4385,Mother and Child,7000000,6537179,tt1121977,7000000,4000000,Drama,Lisa Maria Falcone,Julie Lynn,Rodrigo García
4390,The Extra Man,7000000,492108,tt1361313,7000000,453079,Comedy,Anthony Bregman,Stephanie Davis,Rebecca Rivo
4391,Hesher,7000000,382946,tt1403177,7000000,382946,Drama,Natalie Portman,Spencer Susser,Morgan Susser
4392,Chairman of the Board,7000000,306715,tt0118836,10000000,181233,Comedy,Rupert Harvey,Peter M. Lenkov,Alex Zamm
4398,The Boondock Saints,7000000,411874,tt0144117,6000000,30471,Action,Elie Samaha,Lloyd Segan,Robert N. Fried
4411,House at the End of the Street,6900000,44103982,tt1582507,6900000,44287131,Horror,Aaron Ryder,Peter Block,Hal Lieberman
4417,Shade,6800000,9533964,tt0323939,6800000,459098,Action,Chris Hammond,Ted Hartley,David Schnepp
4423,Annabelle,6500000,256862920,tt3322940,6500000,255273813,Horror,Peter Safran,James Wan,John R. Leonetti
4425,Boyz n the Hood,6500000,56215095,tt0101507,6500000,57504069,Crime,Steve Nicolaides,John Singleton,Ice Cube
4430,The Adventures of Huck Finn,6500000,24103594,tt0106223,6500000,24100000,Action,John Baldecchi,Steve White,Stephen Sommers
4433,Friends with Money,6500000,18110152,tt0436331,6500000,13368437,Comedy,Anthony Bregman,Nicole Holofcener,Jennifer Aniston
4435,Bats,6500000,10155691,tt0200469,5250000,10,Horror,Bradley Jenkel,Louise Rosner,Louis Morneau
